"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CATEGORY";"COPYRIGHT";"DATASHEET-URL";"DESCRIPTION";"HEIGHT";"IR-UL";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MFR_NAME";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OPERATING_TEMP";"PART-NUMBER";"PARTREV";"PART_STATUS";"PINS";"PITCH";"RATING";"ROHS_COMPLIANT";"SERIES";"STANDARD";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VOLTAGE_RATING";"WIRE";"WORKING-VOLTAGE-UL";
"C1";"22uF";"C-POL_TANTALUM-1206(3216-METRIC)";"CAPMP3216X180N";"Capacitor Polarised - Generic";"";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"0.22uF";"C_CHIP-0603(1608-METRIC)";"CAPC1608X85";"Capacitor - Generic";"";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uf";"C_CHIP-0603(1608-METRIC)";"CAPC1608X85";"Capacitor - Generic";"";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"FBB04004-M40S1003K6M";"FBB04004-M40S1003K6M";"FBB04004M40S1003K6M";"Mezzanine Connectors (Board to Board) SMD RoHS 40 Pos";"FBB04004-M40S1003K6M";"";"";"";"";"Mezzanine Connectors (Board to Board) SMD RoHS 40 Pos";"0.95mm";"";"";"TXGA";"FBB04004-M40S1003K6M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"M-BUS";"691210910002";"691210910002";"691210910002";"WR-TBL Serie 2109 - 2.54 mm Horiz. Entry";"";"";"";"";"https://www.we-online.com/redexpert/spec/691210910002?ae";"";"";"6A";"";"";"";"";"";"THT";"";"";"";"";" 691210910002 ";"";"";" 2 ";"2.54mm";"";"";"";"";"";"";"";"Horizontal";"";"30 to 18 (AWG) 0.0509 to 0.823 (mmÂ²)";"150V (AC)";
"OC1";"EL357N-G";"EL357N-G";"OPTO_EL357N-G";"PHOTOTRANSISTOR PHOTOCOUPLER";"";"";"";"";"";"";"";"";"Everlight";"";"";"2.00mm";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";"";"";"";
"OC2";"EL357N-G";"EL357N-G";"OPTO_EL357N-G";"PHOTOTRANSISTOR PHOTOCOUPLER";"";"";"";"";"";"";"";"";"Everlight";"";"";"2.00mm";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";"";"";"";
"R4";"3.6k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"R5";"3.6k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"R6";"3.6k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"R7";"30k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"R8";"10k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"R9";"100K";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"R10";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"RL1";"220";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"RL2";"220";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";
"U$8";"RAK_IO_FIX_LARGE";"RAK_IO_FIX_LARGE";"RAK_IO_FIX_LARGE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"RAK_IO_FIX_LARGE";"RAK_IO_FIX_LARGE";"RAK_IO_FIX_LARGE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$10";"RAK_IO_FIX_SMALL";"RAK_IO_FIX_SMALL";"RAK_IO_FIX_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"RAK_IO_FIX_SMALL";"RAK_IO_FIX_SMALL";"RAK_IO_FIX_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$12";"RAK_IO_FIX_SMALL";"RAK_IO_FIX_SMALL";"RAK_IO_FIX_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TSS721ADD16_TEX-L";"TSS721ADD16_TEX-L";"D16_TEX-L";"";"";"";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"TSS721AD";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
